fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
23/04/25,reclamo de edese,av san martin,privado,"comando del vivero, falta cable de lumbrado",null,null,null,null,null,null,null,null,null
23/04/25,colocacion de lampara,null,publico,sala y capilla,2 de abril,lampara 80w,1,null,null,null,null,null,null
23/04/25,cambio de conexion de llave de luz,null,publico,capilla,2 de abril,null,null,null,null,null,null,null,null
23/04/25,cambio de lampara,andres chazarreta,publico,andres chazarreta y perú,null,lampara 80w,1,null,null,null,null,null,null
23/04/25,retiro de columna con dos artefactos,null,publico,plazoleta,maipú,null,null,null,null,null,null,null,null
23/04/25,cambio de lampara y cable,av san martin,publico,plaza mitre,centro,lampara 40w,8,cable 15mm,"2,x30Mm",null,null,null,null
23/04/25,trabajo en taller,null,publico,taller,null,null,null,null,null,null,null,null,null
24/04/25,colocacion de cables y antibandalos,null,privado,predio quechuistas,null,lampara 80w,1,antibandalo completo,1, cable concentrico,2x15 Mm,null,null
24/04/25,colocacion de lampara,Libertad,publico,garcia mendez y libertad,centro,lampara 80w,2,null,null,null,null,null,null
24/04/25,reconexion luminaria,raul alfonsin,publico,null,null,null,null,null,null,null,null,null,null
24/04/25,reconexion cable cortado,libertad,publico,hogar de ancianos,null,null,null,null,null,null,null,null,null
24/04/25,colocacion de antibandalo y lampara,av belgrano,publico,paseo del agro,null,lampara 80w,15,antibandalo completo,15,null,null,null,null
24/04/25,colocacion de cable subterraneo,av 25 de mayo,publico,veredon,null,null,null,null,null,null,null,null,null
24/04/25,trabajo en taller,null,publico,taller,null,null,null,null,null,null,null,null,null
25/04/25,reactivacion de lamparas,null,publico,null,null,lampara 80w,5,null,null,null,null,null,null
25/04/25,reclamo universidad,independencia,publico,faltan 5 lamparas de 80w y una fotocelula indu,null,null,null,null,null,null,null,null,null
25/04/25,retiro lampara quemada,null,publico,oficina de ale,null,null,null,null,null,null,null,null,null
25/04/25,colocacion de lampara,america del norte,publico,america del norte y buenos aires,las americas,lampara 80w ,1,null,null,null,null,null,null
25/04/25,colocacion de lampara,dorrego,publico,null,null,lampara 80w,1,null,null,null,null,null,null
25/04/25,trabajo en taller,null,publico,taller,null,null,null,null,null,null,null,null,null
25/04/25,colocacion drisa en mastil,av 25 de mayo,null,sportivo,null,null,null,null,null,null,null,null,null
28/04/25,retiro de insumo,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
28/04/25,colocacion,null,privado,sala mistol,null,25 MM cable,"2, 1.5mm",null,null,null,null,null,null
28/04/25,colocacion,null,null,mistol,null,acometida,null,cable subterraneo 4mm,"2,x17Mm",null,null,null,null
28/04/25,colocacion de antibandalos y lampara,null,privado,"sala, mistol",null,antibandalos completos,4,lampara 80w,4,null,null,null,null
28/04/25,colocacion de focos internos,null,privado,"sala, mistol",null,focos internos,null,null,null,null,null,null,null
